Allocation_ID,Deal_ID,Investor_Name,Investor_Type,Geography,Order_Size_M,Allocated_Size_M,Fill_Rate,Behaviour,Order_Date
A056,D006,Fidelity,Asset Manager,US,100,85,85%,Opportunistic,2025-10-20
A057,D006,Capital Group,Asset Manager,US,90,78,87%,Loyal,2025-10-21
A058,D006,Wellington,Asset Manager,US,80,70,88%,Loyal,2025-10-20
A059,D006,T. Rowe Price,Asset Manager,US,70,62,89%,Loyal,2025-10-21
A060,D006,Amundi,Asset Manager,France,65,58,89%,Loyal,2025-10-20
A061,D007,BlackRock,Asset Manager,US,250,200,80%,Price Sensitive,2025-10-17
A062,D007,PIMCO,Asset Manager,US,220,185,84%,Anchor,2025-10-16
A063,D007,Vanguard,Asset Manager,US,200,170,85%,Loyal,2025-10-17
A064,D007,Fidelity,Asset Manager,US,180,150,83%,Opportunistic,2025-10-16
A065,D007,State Street,Asset Manager,US,160,140,88%,Loyal,2025-10-17
A066,D007,Capital Group,Asset Manager,US,140,125,89%,Anchor,2025-10-16
A067,D007,Wellington,Asset Manager,US,120,105,88%,Loyal,2025-10-17
A068,D007,T. Rowe Price,Asset Manager,US,100,88,88%,Loyal,2025-10-16
A069,D007,JP Morgan AM,Asset Manager,US,90,80,89%,Loyal,2025-10-17
A070,D007,Goldman Sachs AM,Asset Manager,US,80,72,90%,Loyal,2025-10-16
A071,D008,Allianz GI,Insurance,Germany,80,75,94%,Loyal,2025-10-11
A072,D008,DWS,Asset Manager,Germany,70,65,93%,Loyal,2025-10-10
A073,D008,Union Investment,Asset Manager,Germany,60,58,97%,Anchor,2025-10-11
A074,D008,MEAG,Insurance,Germany,55,52,95%,Loyal,2025-10-10
A075,D008,Deka,Asset Manager,Germany,50,48,96%,Loyal,2025-10-11
A076,D008,Helaba Invest,Asset Manager,Germany,45,43,96%,Loyal,2025-10-10
A077,D008,LBBW AM,Asset Manager,Germany,40,38,95%,Loyal,2025-10-11
A078,D008,BayernInvest,Asset Manager,Germany,35,34,97%,Anchor,2025-10-10
A079,D008,Universal Investment,Asset Manager,Germany,30,29,97%,Loyal,2025-10-11
A080,D008,Metzler AM,Asset Manager,Germany,25,24,96%,Loyal,2025-10-10
A081,D009,AXA IM,Insurance,France,140,135,96%,Anchor,2025-10-07
A082,D009,BNP Paribas AM,Asset Manager,France,120,115,96%,Loyal,2025-10-06
A083,D009,Amundi,Asset Manager,France,110,105,95%,Loyal,2025-10-07
A084,D009,Natixis IM,Asset Manager,France,90,86,96%,Loyal,2025-10-06
A085,D009,Carmignac,Asset Manager,France,80,77,96%,Anchor,2025-10-07
A086,D009,La Francaise,Asset Manager,France,70,68,97%,Loyal,2025-10-06
A087,D009,Ostrum AM,Asset Manager,France,60,58,97%,Loyal,2025-10-07
A088,D009,DNCA Finance,Asset Manager,France,50,48,96%,Opportunistic,2025-10-06
A089,D009,Tikehau,Asset Manager,France,45,44,98%,Loyal,2025-10-07
A090,D009,Sycomore,Asset Manager,France,40,39,98%,Loyal,2025-10-06
A091,D010,BlackRock,Asset Manager,US,100,75,75%,Price Sensitive,2025-10-01
A092,D010,PIMCO,Asset Manager,US,90,70,78%,Price Sensitive,2025-09-30
A093,D010,Vanguard,Asset Manager,US,80,65,81%,Opportunistic,2025-10-01
A094,D010,Fidelity,Asset Manager,US,70,55,79%,Price Sensitive,2025-09-30
A095,D010,State Street,Asset Manager,US,60,48,80%,Opportunistic,2025-10-01
A096,D010,Amundi,Asset Manager,France,55,45,82%,Price Sensitive,2025-09-30
A097,D010,DWS,Asset Manager,Germany,50,42,84%,Opportunistic,2025-10-01
A098,D010,Schroders,Asset Manager,UK,45,38,84%,Price Sensitive,2025-09-30
A099,D010,UBS AM,Asset Manager,Switzerland,40,34,85%,Opportunistic,2025-10-01
A100,D010,Credit Suisse AM,Asset Manager,Switzerland,35,30,86%,Price Sensitive,2025-09-30
